Gender;E-Paylater User Status;Educational Background;Age;Job Status;Monthly Income;Average monthly expenditure for online shopping in relation to monthly income;IBB;P;SI;H;SC;NE
2;1;4;24;2;5;1;1.75;1;1;1;3;4.6
2;2;1;21;1;2;1;3.5;4;3.83;4;3.6;5
2;1;1;24;1;1;2;2;2.75;2.5;5;3.2;4.4
2;2;1;21;1;1;2;2.5;4;4;3.5;4;2.8
2;2;3;26;2;4;3;3.5;4;4.67;3;4;2.8
2;2;1;23;2;3;2;2.75;3;2;4;4.4;4.6
2;1;1;22;1;1;1;3;1;2;4;3.6;2.2
2;1;4;23;2;3;2;3.25;2;1.17;4;2.8;2.6
2;1;2;21;1;1;1;3.5;1;1;3.5;3.6;2.2
2;1;1;23;1;1;1;3.75;4;2.67;4;4;2.6
2;1;3;25;2;6;1;2;2;2.67;4;3.6;2.8
2;1;1;24;3;3;1;2;1;1.17;1;3.4;5
2;2;3;22;2;3;1;3.5;2;3;3;3.6;3.6
1;1;4;26;2;6;1;2;2;2;4;2.8;4.2
2;1;3;23;3;6;2;2;1;1;4;3.4;3.8
2;1;2;24;2;3;1;3.25;3.25;3.33;3.5;3.2;4.2
2;1;4;23;2;6;1;1.75;2;2;2.25;3.4;3.8
1;1;3;37;2;5;1;2;2;2;2.75;2.8;4.6
1;2;4;22;4;6;2;3.75;4.5;4.5;4.5;4.4;3.2
2;1;1;19;1;1;1;3.5;1;1;4;4;1.2
2;2;3;24;2;2;3;4;3.5;4;4;4;4
2;1;4;25;2;5;2;1.75;1;1;4;2.8;3.2
2;1;3;24;4;2;1;2;2;2.33;4;2.8;3.6
2;1;1;20;1;1;1;3.25;3.5;2.17;4;2.8;3.4
2;2;1;24;1;2;2;3.25;3;3.67;4;3.4;3.6
2;1;1;24;1;1;2;4;2;2;3.5;3.8;3.8
2;1;3;23;1;2;1;1.5;3;2.33;3.25;2.8;4.2
2;1;1;22;1;1;1;2;3;3;3;3;3
1;1;1;29;1;1;3;4;3;4.17;3.25;3.4;3.4
1;1;1;22;1;1;2;2;1;2;4.25;4;3.6
1;2;1;22;1;2;1;3.25;3.5;3.5;4;3.4;3.2
2;1;1;34;1;1;1;2.5;2;1;4;3;3.2
1;1;4;21;2;6;1;2;2;1;3;3;3
1;2;3;23;1;1;2;2.25;2;2;3.75;3.2;3.2
1;1;1;25;1;1;2;2.5;2;2;3.25;3;2.8
1;1;3;22;2;6;1;1;1;1;1;4;2.8
1;2;3;27;2;4;1;3.25;2;2;4;4;3.6
2;1;1;21;1;2;2;1.5;1;1;4;3.6;5
1;1;2;21;1;1;1;3.75;4;3.67;3.75;4;2.8
1;1;3;27;1;1;2;4.25;1.75;2.67;4;3.4;4.4
1;2;3;20;2;5;1;1.75;1;3;3;2.8;4.6
2;1;1;21;1;2;2;2;2;2;3.5;3.8;2.8
1;1;1;22;1;1;1;3.25;2.5;2.33;5;4.2;1.8
2;2;3;43;2;6;1;3.75;4;4;4;3.6;4.4
1;1;3;20;2;5;1;3;3.75;3;3.25;3.4;2.4
1;1;4;37;1;3;1;2.75;2;3;3;3.2;1
1;1;2;28;1;1;1;3.75;4;3.67;3.75;4;2.8
1;1;1;22;1;1;1;3.25;2;2.17;4.5;3.2;5
1;1;4;43;2;6;1;2;2;2;4;2.8;1.6
2;1;1;32;1;2;2;2.5;2.75;4.17;4.25;2.6;3.4
2;1;1;35;1;1;1;1.75;1;1;3.25;3.6;1.6
2;2;1;22;1;1;1;2.25;3.75;2.67;3.25;3.2;1.2
2;1;3;25;4;3;1;1.75;1;2.17;3.5;3;3.6
1;1;4;39;2;3;1;2;2;2;3;3;4.2
1;1;1;28;1;1;1;1.75;1.75;2;3;2.8;1.2
2;1;4;25;2;2;1;2;1;1;3.5;2.4;2.6
2;1;2;22;1;1;1;3;1;1;2.5;4;4.2
2;1;3;22;2;6;4;5;3;3;4;3.4;2.6
2;1;4;22;2;3;1;2;2;2;3;3.4;3.8
2;1;4;46;2;5;1;2;1;1;3.5;1;4
1;1;3;29;2;6;1;3.25;2;2;3.25;3;2.6
2;1;1;35;1;1;1;4;3;3;3;4;3
1;1;1;39;1;1;1;3.25;3;3;4;4;4
1;1;4;21;2;5;1;2;1;1;2.5;3.2;2.8
2;2;3;23;2;3;3;3.25;4;3;4;3.2;2
1;2;3;21;2;4;2;3;4;3.33;4;3.2;3.6
2;2;3;23;2;6;1;3.5;3.5;3;3;3.6;3.4
2;1;3;21;2;5;1;3.25;1;1.17;3;3;4.4
2;1;3;22;2;4;1;3;2.75;2;4;3.6;3.4
2;1;3;34;2;3;2;4;2;1.5;4;2.8;4
2;1;4;27;2;3;1;1;1;1;2;2.6;3.6
2;1;2;21;4;2;1;4;4;4;4;3.8;2
2;1;1;22;1;1;1;3.5;2;3;4;4;3.4
1;1;4;22;2;4;2;3.75;1;1.17;3;3.8;4.2
2;1;1;55;1;1;1;3;1;2;4.5;3.6;4.4
1;1;1;47;1;1;1;2;2.5;1.83;2;2.2;2.8
1;1;1;46;1;1;2;3.5;1;2.33;4;5;3.8
2;2;2;35;1;1;3;2.5;1;1;3.5;3;3.6
2;1;1;25;1;1;1;2;1;1;3.5;3;4.8
2;2;2;31;3;3;1;2;3.25;3;3;3.6;3.6
2;1;3;22;1;2;2;4;2.75;3.17;4;3.6;2.8
2;1;3;29;1;1;1;3.25;2.75;2.33;3;3.4;2.6
2;2;3;22;2;3;1;1.75;4;2.67;3;2.8;5
1;1;3;34;2;6;1;2;2;2;3;3.4;5
2;1;1;41;1;1;1;2.75;2;3;3.25;4;5
2;1;4;30;2;4;1;2;2;2.5;4;3.2;3.8
1;1;1;33;1;1;1;2.75;2;2.17;3;2.8;5
2;1;1;31;1;1;1;2.75;3.5;2.67;3.5;2.8;3
1;1;3;22;1;2;1;3.5;2;2;3.5;3.8;3
2;2;1;32;1;2;1;2.75;1;1;4;3.6;3.8
1;1;1;40;1;2;2;4;2;3.67;4;4;3.4
2;1;1;44;1;2;1;3.75;4.25;3.67;5;3.6;3.8
1;1;1;29;1;1;1;1;2;2;3;3.2;4.4
2;1;1;22;1;1;1;2;1;1.5;4;3.4;2.4
2;1;1;28;1;2;2;2.25;1.75;3.33;4;3.6;2.8
2;2;3;22;2;5;2;2;1;1;1;1;3
1;1;1;47;1;2;1;2;1;1;4;3.8;4.2
1;1;2;36;2;3;1;2;2;2;3;3.8;3.8
1;2;4;22;2;2;4;3.5;4;2.33;4;3.6;5
2;2;3;30;2;6;3;4.5;3.5;2;4;2.8;3
1;1;3;44;1;1;1;3.25;4;4;4;4;3
2;2;1;30;3;3;2;2;3.5;2.17;3.25;3;4.2
2;1;1;47;1;1;1;3.25;1;1;4.25;3.6;4.2
2;1;1;22;1;1;1;2;4;4;5;4;1
1;1;3;47;1;1;1;1;1;1.17;1;1.8;2.2
1;1;4;46;2;3;1;2;2;3.17;4;3.4;4.6
1;1;3;36;2;6;2;2.25;1;3;3;3.4;3.4
2;1;3;52;2;5;3;2;1;1;3.25;3;3.8
2;1;4;45;2;5;1;2;1;2;2.5;2.8;3.6
2;1;3;40;2;4;2;3;3;4;4;3.4;4
2;1;1;55;1;1;2;1.75;1;1;4;2.6;4.2
2;1;2;45;2;3;1;1;1;1;3;3.2;3.6
2;2;4;34;2;2;2;3;4;3.33;4;4;4.4
1;2;1;45;1;1;2;4;2.75;3.33;3.5;3.8;4.8
1;2;3;50;1;1;1;3.5;4;4;1.75;3.8;3.2
1;2;3;43;2;6;1;2.25;4;3.83;4;3.4;3
2;1;1;45;1;1;1;4;2;2;4;4;3
2;1;4;22;2;6;3;2;1;1.17;4;2.8;3.4
2;2;1;45;1;2;1;3;3.75;4;4.75;3;3.4
2;1;1;46;1;1;1;4;3.75;3.83;5;3;3.8
2;1;3;22;2;5;2;2.5;1;2;4;3.4;3.6
2;2;1;30;1;2;1;3;4.25;3;2.75;2.6;2.2
2;1;3;51;1;1;3;3.5;2;2;3.5;3.6;3.4
1;1;3;51;2;4;1;1.75;2.25;3.17;4;3.4;3.6
2;1;1;46;1;1;1;1.25;3.5;1;2.25;3.4;3.2
2;1;1;37;1;1;1;2;2;1.33;3.5;3.8;4.4
1;1;3;42;2;3;1;2;2;2;2;3.2;4.6
2;1;4;50;2;6;1;2;1.75;2;2.75;3.2;3.2
2;1;4;54;2;5;1;3;2;2.17;3.5;3.4;2
1;1;4;22;2;3;1;2;2;2;3.5;2.8;2.8
1;1;4;49;2;4;1;3.75;2;2.5;3.75;3.2;2.6
2;1;3;51;3;3;1;2;1;3;2;3.8;2.8
2;1;3;22;2;4;1;3.75;2;3.33;4;3.4;3.4
1;2;3;28;2;6;1;3;3.5;3.67;3;3.6;3
2;2;1;53;1;1;1;2.5;1;1.17;4;3;3.2
2;1;4;45;2;5;1;3.5;2;2;2;2.6;3.2
2;1;1;41;1;2;2;3;3;3;3.25;4;4
2;1;1;40;1;1;2;3.75;1;1;4;4.2;1.4
2;1;2;46;1;2;2;2.5;3;3;4;4;3
1;2;2;46;2;4;1;3.75;3.75;4.33;3.75;4;3
1;2;4;45;2;6;1;1;3;1;2;2.6;2.2
2;1;3;46;2;4;1;3.75;3;3;3;3.4;4.8
2;1;4;25;2;6;2;3.25;3;2.17;4;3.2;2.8
